sap;descricao;unidade;preco_unitario
A-30/9;A-30/9 INST SUP TRAFO DES 122236 ITEM 2;UN;0.0
EASYTRAF;EASYTRAF INSTALAÇÃO EASY TRAFO;UN;0.0
TR/AP45S;INST TR. AER. 45 KVA AUTO-PROT-Serial.;UN;0.0
TR/AP75S;INST TR. AER. 75 KVA AUTO-PROT-Serial.;UN;0.0
TAP112S;INST TR. AER. 112.5KVA AUTO-PROT-Serial.;UN;0.0
TR/15-6S;NST TR. AER. 15KVA TRIF.13KV-Serial.;UN;0.0
TR/30-S;INST TR. AER. 30 KVA TRIF. 13 KV-Serial.;UN;0.0
TR/45-S;INST TR. AER. 45 KVA TRIF. 13 KV-Serial.;UN;0.0
TR/75-S;INST TR. AER. 75 KVA TRIF. 13 KV-Serial.;UN;0.0
T/112-4S;INST TR. AER. 112KVA TRIF.13 KV-Serial.;UN;0.0
TR/150-S;INST TR. AER. 150 KVA TRIF.13 KV-Serial.;UN;0.0
TR/225-S;INST.TR. AER. 225 KVA TRIF. 13KV-Serial.;UN;0.0
TR300-4S;TR300-4S INST TRAFO AÉREO 13KVA TRIF;UN;0.0
TR/5-6S;TR/5-6S INST TR. AER. 5KVA DIST RURAL;UN;0.0
TR/10-6S;INST TR.AER. 10 KVA DIST. RURAL-Serial.;UN;0.0
TR/15-7S;NST TR. AER. 15 KVA DIST. RURAL-Serial;UN;0.0
T/AP112B;T/AP112B RET TRAFO AER 112KVA AP BLIND;UN;0.0
T/AP45BS;INST TR. AER. 45KVA AP-C/BLIND-Serial.;UN;0.0
T/AP75BS;INST TR. AER. 75KVA AP-C/BLIND-Serial.;UN;0.0
TAP112;TAP112   RET  TRAFO AEREO 112.5KVA AUTO;UN;0.0
TAP112BS;INST TR. AER. 112,5KVA AP-C/BLIND-Serial;UN;0.0
TAP150BL;TAP150BL- RET.TRAFO AUT PROT.BLIN.150KVA;UN;0.0
TAP150BS;RET.TRAFO AUT PROT.BLIN.150KVA-Serial.;UN;0.0
TAPD112;TAPD112  INST TRAFO AEREO 112KVA AP-DES;UN;0.0
TAPD75;TAPD75   INST TRAFO AEREO 75KVA AP-DESC;UN;0.0
TI/100-1;TI/100-1 RET  TRAFO AEREO ISOL.100KVA 6;UN;0.0
TI/100-S;INST TRAFO AEREO ISOL.100KVA 6-Serial.;UN;0.0
TI/25-1;TI/25-1  RET  TRAFO AEREO ISOL.25 KVA 6;UN;0.0
TI/25-1S;INST TR. AER. ISOL.25 KVA 6/13KV-Serial.;UN;0.0
TI/25-2;TI/25-2  INST TRAFO AER.ISOL.25KVA 25/1;UN;0.0
TI/50-1;TI/50-1  RET  TRAFO AEREO ISOL. 50KVA 6;UN;0.0
TI/50-1S;INST TR. AER. ISOL. 50KVA 6/13KV-Serial.;UN;0.0
TI/50-3;TI/50-3  INST TRAFO AER. ISOL.2X50KVA 6;UN;0.0
TI/75-1;TI/75-1 RET TRAFO AEREO ISOL 75KVA 6/13;UN;0.0
TI/75-1S;TI/75-1S INST TRAFO AER ISOL 75KVA 6/13;UN;0.0
TP13/115;TP13/115 INST TRAFO POTENCIAL 15KV 500VA;UN;0.0
TP13RL;TP13RL INST TP 15 KV/500VA P/RELIGADOR;UN;0.0
TP34/115;TP34/115 INST TP 34,5 KV/500VA;UN;0.0
TP34RL;TP34RL INST TP 34,5 KV/500VA P/RELIGADOR;UN;0.0
TR/10-1;TR/10-1  INST TRAFO AEREO 10 KVA MONO 6;UN;0.0
TR/10-2;TR/10-2  INST TRAFO AEREO 10 KVA MONO 6;UN;0.0
TR/10-3;TR/10-3  INST TRAFO AEREO 10 KVA TRIF.;UN;0.0
TR/10-4;TR/10-4  INST TRAFO AEREO 10 KVA TRIF.6;UN;0.0
TR/10-5;TR/10-5  INST TRAFO AEREO 10 KVA DIST.;UN;0.0
TR/10-6;TR/10-6   RET TRAFO AEREO 10 KVA DIST. R;UN;0.0
TR/100-2;TR/100-2 RET  TRAFO AEREO 100KVA MONO 6;UN;0.0
TR/100-3;TR/100-3 INST TRAFO AEREO 100 KVA TRIF.;UN;0.0
TR/100-4;TR/100-4 INST TRAFO AERO 100 KVA TRIF.6;UN;0.0
TR/112-3;TR/112-3 RET  TRAFO AEREO 112KVA TRIF.6;UN;0.0
TR/112-4;TR/112-4 RET  TRAFO AEREO 112KVA TRIF.1;UN;0.0
TR/112-5;TR/112-5 RET  TRAFO AEREO 112KVA TRIF.;UN;0.0
