sap;descricao;unidade;custo_un;normas
13INVFRA;13INVFRA INST CJ DER CH FUS REL AFAST MT;UN;0.0;
13INVFSA;13INVFSA INST CONJ DER SEC MONO AFAST MT;UN;0.0;
13INVFUA;13INVFUA INST R. INVERT P/CHVA FUS COM A;UN;0.0;
13INVSA;13INVSA  INST R. INVERT P/CHVA SECC COM;UN;0.0;
13INVSU;13INVSU  INST R. INVERT P/ EST.CHV SEC U;UN;0.0;
13IVV1;13IVV1 INST RD INV VER ALIN RETO;UN;0.0;
13IVV3;13IVV3 INST RD INV VER FIM REDE;UN;0.0;
13IVV4;13IVV4 INST RD INV VER DUP ANCORAGEM;UN;0.0;
13IVVDBR;13IVVDBR INST RD INV VERT EST DUP ANC BL;UN;0.0;
13IVVDER;13IVVDER INST RD INV VERT PARA DERIVAÇÃO;UN;0.0;
13M1;13M1     INST MEIO BEC.PINO SIMPLES URB;UN;0.0;
13M1/F-1;13M1/F-1 INST 13M1 SEM ISOLADORES;UN;0.0;
13M1DT;13M1DT    INST MEIO BEC.PINO SIMPLES URB;UN;0.0;
13M2;13M2     RET  MEIO BECO PINO DUPLO URB.;UN;0.0;
13M2/F-1;13M2/F-1 INST 13M2 SEM ISOLADORES;UN;0.0;
13M3;13M3     INST MEIO BECO UM FIM REDE URB;UN;0.0;
13M3DT;13M3DT    INST MEIO BECO UM FIM REDE URB;UN;0.0;
13M4;13M4     INST MEIO BECO 2 FINS REDE URB;UN;0.0;
13M4DT;13M4DT    INST MEIO BECO 2 FINS REDE URB;UN;0.0;
13N1;13N1     INST NORMAL PINO SIMPLES URB.1;UN;0.0;
13N1/F-1;13N1/F-1 INST 13N1 SEM ISOLADORES;UN;0.0;
13N1/FU;13N1/FU- INST.CH.FUSÍVEL C/ESTRUT.NORMAL;UN;0.0;
13N1DT;13N1DT     INST NORMAL PINO SIMPLES DT;UN;0.0;
13N2;13N2     RET  NORMAL PINO DUPLO URB.13,;UN;0.0;
13N2/F-1;13N2/F-1 INST 13N2 SEM ISOLADORES;UN;0.0;
13N3;13N3     INST NORMAL UM FIM REDE URB. 1;UN;0.0;
13N3-CE;13N3-CE  RET  RD.AE.CONV./COMPAC.S/SECC;UN;0.0;
13N3DT;13N3DT   INST NORMAL UM FIM REDE URB. 1;UN;0.0;
13N3S-CE;13N3S-CE RET  RD.AE.CONV./COMPAC.C/SECC;UN;0.0;
13N4;13N4     INST NORMAL 2 FINS REDE URB.13;UN;0.0;
13N4DT;13N4DT    INST NORMAL 2 FINS REDE URB.13;UN;0.0;
13NSMDER;13NSMDER INST SEC MONO COM BY PASS;UN;0.0;
13R;13R      RET  RELIG.(EXCETO KF) URB. 13;UN;0.0;
13R-F2;13R-F2   INST FERRAGEM P/RELIGADOR EXCE;UN;0.0;
13R/KF;13R/KF   RET  RELIGADOR TIPO KF URB.13,;UN;0.0;
13R/KF-E;13R/KF-E RET  RELIGADOR TIPO KFE URB.13;UN;0.0;
13R/KFME;13R/KFME INST RELIGADOR KFME URB. 15KV/;UN;0.0;
13REG-F2;13REG-F2 INST FERRAGEM FIXACAO ACO P/BAN;UN;0.0;
13RG-32D;13RG-32D INST EST.REGUL.TENSÃO 32D 13,8;UN;0.0;
13RG/AB;13RG/AB  RET  REGULADOR AUTO-BOOSTER UR;UN;0.0;
13RGDF3P;13RGDF3P INST REGUL DELTA FECH 3 POSTES;UN;0.0;
13RGDFPL;13RGDFPL INST REG DELT FECHADO PLATAFORM;UN;0.0;
13S;13S      INST SECCIONALIZADOR URBANO 13;UN;0.0;
13S-F2;13S-F2   INST FERRAGEM P/SECCINALIZADOR;UN;0.0;
13S/RT;13S/RT   RET  SEC.TRIFASICO RURAL 13.8;UN;0.0;
13S/TER;13S/TER  RET  SEC.C/TERMINAIS SUBT.URB.;UN;0.0;
13SECMB;13SECMB INST EST SEC MONO COM BY PASS;UN;0.0;
13TAPSR;13TAPSR  INST TRAFO AP SEM REDE SECUNDAR;UN;0.0;
13TASRDT;13TASRDT  INST EST CX BD TRAP POSTE DT;UN;0.0;
13TR/B10;13TR/B10 INST MON.TR.BECO CH.FUS.10KA C;UN;0.0;
13TR/B8;13TR/B8  INST MONT. TR. CH. FUS. 8KA C/;UN;0.0;
13TR/N10;13TR/N10 INST MONT. TR.N.CH.FUS.10KA C/;UN;0.0;
13TR/N8;13TR/N8  INST MONT. TR.N. CH.FUS. 8KA C;UN;0.0;
13TRAP/N;13TRAP/N INST MONT.C/TRAFO NOR PRIM. 13;UN;0.0;
13TRS/B8;13TRS/B8 INST MONT.TR.BECO CH.FUS.8KA S;UN;0.0;
13TRS/N8;13TRS/N8 INST MONT. TR.N. CH.FUS. 8KA S;UN;0.0;
13TRSR;13TRSR INST TRAFO CONV SEM REDE SECUND;UN;0.0;
13TRSRDT;13TRSRDT  INST EST CX BD TR CV PDT;UN;0.0;
13TS/N10;13TS/N10 RET  MONT.TN.C/PROT.SEC.CF10KA;UN;0.0;
13TS/N8;13TS/N8  RET  MONT.TN.C/PROT.SEC.CF-8KA;UN;0.0;
13TSS/N8;13TSS/N8 RET  MONT.TN.C/PROT.SEC.CF-8KA;UN;0.0;
15476/CA;15476/CA INST CAIXA/INSPECAO-CENTRO/ASF;UN;0.0;
15476/CC;15476/CC INST CAIXA/INSPECAO-CENTRO/CIM;UN;0.0;
15476/CG;15476/CG INST CAIXA/INSPECAO-CENTRO/GRA;UN;0.0;
15476/CP;15476/CP INST CAIXA/INSPECAO-CENTRO/PAR;UN;0.0;
15476/FA;15476/FA INST CAIXA/INSPECAO-VALE/ASFAL;UN;0.0;
15476/FC;15476/FC INST CAIXA/INSPECAO-VALE/CIMEN;UN;0.0;
15476/FG;15476/FG INST CAIXA/INSPECAO-VALE/GRAMA;UN;0.0;
15476/FP;15476/FP INST CAIXA/INSPECAO-VALE/PARAL;UN;0.0;
15477;15477 INST CAIXA DE INSPEÇÃO DESº 15477;UN;0.0;
15477/CA;15477/CA INST CAIXA/INSPECAO-CENTRO/ASF;UN;0.0;
15477/CC;15477/CC INST CAIXA/INSPECAO-CENTRO/CIM;UN;0.0;
15477/CG;15477/CG INST CAIXA/INSPECAO-CENTRO/GRA;UN;0.0;
15477/CP;15477/CP INST CAIXA/INSPECAO-CENTRO/PAR;UN;0.0;
15477/FA;15477/FA INST CAIXA/INSPECAO-VALE/ASFAL;UN;0.0;
15477/FC;15477/FC INST CAIXA/INSPECAO-VALE/CIMEN;UN;0.0;
15477/FG;15477/FG INST CAIXA/INSPECAO-VALE/GRAMA;UN;0.0;
15477/FP;15477/FP INST CAIXA/INSPECAO-VALE/PARAL;UN;0.0;
15478;15478 INST CAIXA DE INSPEÇÃO DESº 15478;UN;0.0;
15478/CA;15478/CA INST CAIXA/INSPECAO-CENTRO/ASF;UN;0.0;
15478/CC;15478/CC INST CAIXA/INSPECAO-CENTRO/CIM;UN;0.0;
15478/CG;15478/CG INST CAIXA/INSPECAO-CENTRO/GRA;UN;0.0;
15478/CP;15478/CP INST CAIXA/INSPECAO-CENTRO/PAR;UN;0.0;
